,0,ipl 2019 (normalized),Cricbuzz(Normalized),Net (3:2)
0,JOS BUTTLER,208.8068182,345.398773,263.4436001
1,MS DHONI,225.1420455,244.7852761,232.9993377
2,kl RAHUL,299.0056818,0,299.0056818
3,RISHABH PANT,326.7045455,215.9509202,282.4030954
4,DINESH KARThIK,148.4375,0,148.4375
5,ISHAN KISHAN,31.25,0,31.25
6,SANJU SAMSON,157.6704545,0,157.6704545
7,WRIDDHIMAN SAHA,44.74431818,0,44.74431818
8,SHANE WATSON,245.7386364,0,245.7386364
9,DWAYNE BRAVO,189.6306818,0,189.6306818
10,ANDRE RUSSELL,500,0,500
11,SUNIL NARINE,267.0454545,306.7484663,282.9266592
12,KRUNAL PANDYA,275.5681818,350.3067485,305.4636085
13,HARDIK PANDYA,461.6477273,262.5766871,382.0193112
14,RAVINDRA JADEJA,308.9488636,223.9263804,274.9398703
15,CHRIS MORRIS,164.7727273,353.9877301,240.4587284
16,BEN STOKES,108.6647727,0,108.6647727
17,GLENN MAXWELL,223.0113636,500,333.8068182
18,kieron POLLARD,163.3522727,0,163.3522727
19,vijaySHANKAR,134.9431818,0,134.9431818
20,DAVID WARNER,289.7727273,0,289.7727273
21,CHRIS LYNN,234.375,0,234.375
22,ABDevilliers,236.5056818,0,236.5056818
23,chrisGAYLE,304.6875,234.3558282,276.5548313
24,KANE WILLIAMSON,50.42613636,377.9141104,181.421326
25,NITISH RANA,223.0113636,0,223.0113636
26,MAYANK AGARWAL,162.6420455,0,162.6420455
27,DAVID MILLER,102.9829545,350.9202454,202.1578709
28,viratKOHLI,221.5909091,404.2944785,294.6723369
29,SURYAKUMAR YADAV,217.3295455,0,217.3295455
30,SHIKHAR DHAWAN,275.5681818,392.0245399,322.150725
31,SURESH RAINA,206.6761364,222.6993865,213.0854364
32,SHREYAS IYER,219.4602273,0,219.4602273
33,ajinkyaRAHANE,198.1534091,0,198.1534091
34,robinUTHAPPA,139.2045455,0,139.2045455
35,ROHIT SHARMA,224.4318182,407.3619632,297.6038762
36,SHUBAMan GILL,223.0113636,500,333.8068182
37,RAHUL TRIPATHi,42.61363636,0,42.61363636
38,ANDREW TYE,40.48295455,362.5766871,169.3204476
39,RASHID KHAN,327.4147727,464.4171779,382.2157348
40,KAGISO RABADA,286.9318182,266.8711656,278.9075572
41,JOFRA ARCHER,247.1590909,0,247.1590909
42,MUJEEB UR RAHMAN,46.875,0,46.875
43,IMRAN TAHIR,338.0681818,347.2392638,341.7366146
44,TIM SOUTHEE,18.46590909,382.208589,163.962981
45,SIDdARTH KAUL,88.77840909,0,88.77840909
46,UMESH YADAV,170.4545455,0,170.4545455
47,jaspritBUMRAH,317.4715909,338.0368098,325.6976785
48,KULDEEP YADAV,86.64772727,387.7300613,207.0806609
49,SHARDUL THAKUR,134.2329545,0,134.2329545
50,MAYANK MARKANDE,0,0,0
51,AMIT MISHRA,159.0909091,0,159.0909091
52,yuzvendraCHAHAL,242.1875,329.4478528,277.0916411
53,SANDEEP SHARMA,159.0909091,0,159.0909091
54,JAYDEV UNADKAT,122.1590909,0,122.1590909
55,DEEPAK CHAHAR,365.7670455,0,365.7670455
